 A=   7.43392445644148433E-014 Eo=   -324.61080853657802      d=    1.2396767205228478     
     T(K)                        T/1000                   kTST-exp             Ln kTST-exp                Ln kTST-Fit
   23.000000000000000        43.478260869565219       1.04000000000000003E-010  -22.986630216787177       -22.894805792549590     
   25.000000000000000        40.000000000000000       9.98999999999999988E-011  -23.026851430274039       -22.963154789968254     
   50.000000000000000        20.000000000000000       6.47999999999999985E-011  -23.459715512570320       -23.531281176710429     
   75.000000000000000        13.333333333333334       4.70999999999999976E-011  -23.778748114906175       -23.863545134600603     
   100.00000000000000        10.000000000000000       3.69000000000000031E-011  -24.022809564882067       -24.099242118550883     
   125.00000000000000        8.0000000000000000       3.03000000000000013E-011  -24.219873403413224       -24.282025812594988     
   150.00000000000000        6.6666666666666670       2.56999999999999991E-011  -24.384530124027375       -24.431340731689783     
   175.00000000000000        5.7142857142857144       2.22999999999999999E-011  -24.526434437462473       -24.557559172264320     
   200.00000000000000        5.0000000000000000       1.97000000000000005E-011  -24.650402480184606       -24.666872470944966     
   225.00000000000000        4.4444444444444446       1.75999999999999993E-011  -24.763122213884444       -24.763274166797338     
   250.00000000000000        4.0000000000000000       1.59999999999999997E-011  -24.858432393688766       -24.849491020255996     
   275.00000000000000        3.6363636363636362       1.46000000000000000E-011  -24.949999587214258       -24.927467918552811     
   295.00000000000000        3.3898305084745761       1.36000000000000002E-011  -25.020951323186541       -24.984894249234060     
 Chi Quadrado:   2.77554809209528287E-003
 
 k = A*(1-((d*E0)/(R*T)))^(1/d)
 ln(k) = ln(A)+(1/d)*ln(1-((d*E0)/(R*T)))
