Author(s):   Ravishankara, A.R.; Wine, P.H.; Wells, J.R.; Thompson, R.L.
Title:   Kinetic study of the reaction of OH with HCl from 240-1055 K


T (K)	k(T) [cm3/molecule s]
240		6.06E-13
240		6.16E-13
250		6.36E-13
250		6.51E-13
275		7.33E-13
300		8.10E-13
300		7.97E-13
325		8.80E-13
350		9.46E-13
350		9.75E-13
363		9.78E-13
400		1.17E-12
450		1.37E-12
500		1.60E-12
550		1.83E-12
600		2.08E-12
650		2.34E-12
700		2.61E-12
750		2.89E-12
800		3.19E-12
850		3.49E-12
900		3.81E-12
950		4.14E-12
1000	4.48E-12
1050	4.83E-12
1060	4.90E-12
