 A=   1.66574306570236249E-011 Eo(cal/mol)=   -94.671319118877790     
     T(K)                        1000/T                   k-exp                  ln (k) - exp              ln (k) - Fit
   23.000000000000000        43.478260869565219       1.04000000000000003E-010  -22.986630216787177       -22.753355322484364     
   25.000000000000000        40.000000000000000       9.98999999999999988E-011  -23.026851430274039       -22.918114377363327     
   50.000000000000000        20.000000000000000       6.47999999999999985E-011  -23.459715512570320       -23.865478942917381     
   75.000000000000000        13.333333333333334       4.70999999999999976E-011  -23.778748114906175       -24.181267131435398     
   100.00000000000000        10.000000000000000       3.69000000000000031E-011  -24.022809564882067       -24.339161225694404     
   125.00000000000000        8.0000000000000000       3.03000000000000013E-011  -24.219873403413224       -24.433897682249810     
   150.00000000000000        6.6666666666666670       2.56999999999999991E-011  -24.384530124027375       -24.497055319953414     
   175.00000000000000        5.7142857142857144       2.22999999999999999E-011  -24.526434437462473       -24.542167918313130     
   200.00000000000000        5.0000000000000000       1.97000000000000005E-011  -24.650402480184606       -24.576002367082918     
   225.00000000000000        4.4444444444444446       1.75999999999999993E-011  -24.763122213884444       -24.602318049459420     
   250.00000000000000        4.0000000000000000       1.59999999999999997E-011  -24.858432393688766       -24.623370595360623     
   275.00000000000000        3.6363636363636362       1.46000000000000000E-011  -24.949999587214258       -24.640595405643420     
   295.00000000000000        3.3898305084745761       1.36000000000000002E-011  -25.020951323186541       -24.652273243123286     
 Chi Quadrado:   6.69073390756677044E-002
 
 k = A*exp(-Eo/(R*T))
 ln(k) = ln(A)-(Eo/(R*T))
