 A=   1.10691259041693629E-010 Eo(cal/mol)=    9170.3568257353909      d=   -8.62855858811494708E-002
     T(K)                        1000/T                   k-exp                  ln (k) - exp              ln (k) - Fit
   250.00000000000000        4.0000000000000000       1.75000000000000004E-015  -33.979160606975263       -33.988017554018086     
   300.00000000000000        3.3333333333333335       6.39000000000000010E-015  -32.684042126521241       -32.727969711047230     
   350.00000000000000        2.8571428571428572       1.71000000000000010E-014  -31.699697931402071       -31.737331905153162     
   400.00000000000000        2.5000000000000000       3.74999999999999980E-014  -30.914435461934321       -30.935406162052786     
   450.00000000000000        2.2222222222222223       7.12999999999999966E-014  -30.271880067490436       -30.271519621804725     
   500.00000000000000        2.0000000000000000       1.23000000000000006E-013  -29.726592039538268       -29.712019782075547     
   550.00000000000000        1.8181818181818181       1.95000000000000002E-013  -29.265776836346937       -29.233571912133563     
   600.00000000000000        1.6666666666666667       2.93000000000000014E-013  -28.858603785893617       -28.819429651362626     
   650.00000000000000        1.5384615384615385       4.19999999999999977E-013  -28.498521683633271       -28.457232238067334     
   700.00000000000000        1.4285714285714286       5.78999999999999956E-013  -28.177473917337689       -28.137639469609802     
   750.00000000000000        1.3333333333333333       7.74000000000000034E-013  -27.887204521320957       -27.853451713115458     
   800.00000000000000        1.2500000000000000       1.00999999999999994E-012  -27.621070785075378       -27.599023498846915     
   850.00000000000000        1.1764705882352942       1.28000000000000000E-012  -27.384161037997021       -27.369861564318573     
   900.00000000000000        1.1111111111111112       1.60000000000000005E-012  -27.161017486682812       -27.162342537328620     
   950.00000000000000        1.0526315789473684       1.96999999999999989E-012  -26.952987573178650       -26.973510388406041     
   1000.0000000000000        1.0000000000000000       2.39000000000000012E-012  -26.759727749985128       -26.800928366870686     
   1050.0000000000000       0.95238095238095233       2.85999999999999993E-012  -26.580199491096788       -26.642568949601177     
 Chi Quadrado:   9.55420428039324698E-004
 
 k = A*(1-((d*Eo)/(R*T)))^(1/d)
 ln(k) = ln(A)+(1/d)*ln(1-((d*Eo)/(R*T)))
